Operand,Value,Delta
PMX,356.25,-17.5
CX,348.75,-10.0
PMX,375.5,-36.75
PMX,408.0,-69.25
PMX,366.25,-27.5
PMX,357.25,-18.5
PMX,368.0,-29.25
OX,397.75,-59.0
OX,348.75,-10.0
PMX,368.0,-29.25
OX,368.0,-29.25
PMX,387.75,-49.0
OX,348.75,-10.0
OX,388.25,-49.5
OX,348.75,-10.0
OX,348.75,-10.0
OX,349.75,-11.0
PMX,357.25,-18.5
PMX,357.25,-18.5
OX,357.25,-18.5
CX,375.5,-36.75
PMX,348.75,-10.0
CX,388.25,-49.5
PMX,348.75,-10.0
OX,388.25,-49.5
CX,348.75,-10.0
PMX,364.25,-25.5
CX,348.75,-10.0
OX,388.25,-49.5
CX,375.5,-36.75
OX,348.75,-10.0
PMX,357.25,-18.5
PMX,388.25,-49.5
PMX,410.0,-71.25
PMX,388.25,-49.5
PMX,348.75,-10.0
PMX,364.25,-25.5
OX,388.25,-49.5
OX,348.75,-10.0
OX,357.25,-18.5
PMX,364.25,-25.5
PMX,388.25,-49.5
CX,348.75,-10.0
OX,351.75,-13.0
PMX,388.5,-49.75
CX,351.75,-13.0
PMX,410.0,-71.25
PMX,351.75,-13.0
CX,410.0,-71.25
PMX,395.0,-56.25
OX,410.0,-71.25
PMX,348.75,-10.0
OX,388.5,-49.75
PMX,388.25,-49.5
PMX,388.25,-49.5
CX,348.75,-10.0
OX,388.25,-49.5
CX,388.25,-49.5
OX,348.75,-10.0
OX,388.25,-49.5
OX,413.5,-74.75
PMX,420.0,-81.25
CX,388.25,-49.5
CX,413.5,-74.75
OX,388.25,-49.5
OX,413.0,-74.25
OX,413.0,-74.25
CX,388.25,-49.5
CX,388.5,-49.75
OX,413.0,-74.25
PMX,388.5,-49.75
CX,413.0,-74.25
CX,413.0,-74.25
PMX,364.0,-25.25
OX,413.0,-74.25
PMX,388.25,-49.5
PMX,356.25,-17.5
PMX,413.5,-74.75
PMX,405.5,-66.75
CX,413.0,-74.25
OX,402.0,-63.25
PMX,369.75,-31.0
CX,364.0,-25.25
PMX,417.25,-78.5
CX,388.25,-49.5
CX,369.75,-31.0
PMX,413.0,-74.25
PMX,416.0,-77.25
CX,397.75,-59.0
OX,417.25,-78.5
PMX,422.25,-83.5
CX,364.0,-25.25
CX,419.5,-80.75
OX,369.75,-31.0
CX,420.25,-81.5
OX,420.25,-81.5
CX,388.25,-49.5
OX,369.75,-31.0
PMX,408.5,-69.75
CX,419.5,-80.75
OX,369.75,-31.0
OX,369.75,-31.0
OX,400.5,-61.75
CX,369.75,-31.0
CX,419.5,-80.75
CX,338.75,0.0
OX,407.0,-68.25
CX,419.5,-80.75
PMX,364.0,-25.25
PMX,369.75,-31.0
PMX,419.5,-80.75
CX,386.5,-47.75
CX,386.5,-47.75
CX,369.75,-31.0
OX,364.0,-25.25
PMX,369.75,-31.0
OX,397.75,-59.0
PMX,386.5,-47.75
PMX,369.75,-31.0
OX,397.75,-59.0
PMX,419.5,-80.75
CX,397.75,-59.0
CX,397.75,-59.0
OX,421.0,-82.25
PMX,364.0,-25.25
CX,364.0,-25.25
PMX,369.75,-31.0
OX,397.75,-59.0
PMX,338.75,0.0
CX,386.5,-47.75
CX,386.5,-47.75
OX,392.5,-53.75
CX,397.75,-59.0
OX,397.75,-59.0
CX,386.5,-47.75
PMX,364.0,-25.25
CX,341.25,-2.5
PMX,397.75,-59.0
CX,408.0,-69.25
PMX,397.75,-59.0
PMX,364.0,-25.25
OX,392.5,-53.75
PMX,386.5,-47.75
CX,397.75,-59.0
PMX,338.75,0.0
PMX,397.75,-59.0
PMX,369.75,-31.0
CX,386.5,-47.75
CX,369.75,-31.0
OX,397.75,-59.0
CX,364.0,-25.25
CX,369.75,-31.0
OX,419.25,-80.5
CX,397.75,-59.0
PMX,397.75,-59.0
CX,386.5,-47.75
OX,392.5,-53.75
PMX,384.0,-45.25
OX,399.0,-60.25
OX,392.5,-53.75
PMX,399.75,-61.0
CX,386.5,-47.75
OX,399.75,-61.0
PMX,417.0,-78.25
OX,411.0,-72.25
PMX,399.75,-61.0
PMX,386.5,-47.75
CX,386.5,-47.75
CX,369.75,-31.0
OX,386.5,-47.75
CX,386.5,-47.75
CX,369.75,-31.0
CX,369.75,-31.0
OX,392.0,-53.25
CX,408.0,-69.25
CX,369.75,-31.0
CX,379.25,-40.5
CX,417.0,-78.25
CX,412.5,-73.75
CX,417.0,-78.25
OX,421.0,-82.25
CX,369.75,-31.0
